Date,CPI_rate
10.11.2022,"7,7"
13.10.2022,"8,2"
13.09.2022,"8,3"
10.08.2022,"8,5"
13.07.2022,"9,1"
10.06.2022,"8,6"
11.05.2022,"8,3"
12.04.2022,"8,5"
10.03.2022,"7,9"
10.02.2022,"7,5"
12.01.2022,7
10.12.2021,"6,8"
10.11.2021,"6,2"
13.10.2021,"5,4"
14.09.2021,"5,3"
11.08.2021,"5,4"
13.07.2021,"5,4"
10.06.2021,5
12.05.2021,"4,2"
13.04.2021,"2,6"
10.03.2021,"1,7"
10.02.2021,"1,4"
13.01.2021,"1,4"
10.12.2020,"1,2"
12.11.2020,"1,2"
13.10.2020,"1,4"
11.09.2020,"1,3"
12.08.2020,1
14.07.2020,"0,6"
10.06.2020,"0,1"
12.05.2020,"0,3"
10.04.2020,"1,5"
11.03.2020,"2,3"
13.02.2020,"2,5"
14.01.2020,"2,3"
11.12.2019,"2,1"
13.11.2019,"1,8"
10.10.2019,"1,7"
12.09.2019,"1,7"
13.08.2019,"1,8"
11.07.2019,"1,6"
12.06.2019,"1,8"
10.05.2019,2
10.04.2019,"1,9"
12.03.2019,"1,5"
13.02.2019,"1,6"
11.01.2019,"1,9"
12.12.2018,"2,2"
14.11.2018,"2,5"
11.10.2018,"2,3"
13.09.2018,"2,7"
10.08.2018,"2,9"
12.07.2018,"2,9"
12.06.2018,"2,8"
10.05.2018,"2,5"
11.04.2018,"2,4"
13.03.2018,"2,2"
14.02.2018,"2,1"
12.01.2018,"2,1"
13.12.2017,"2,2"
